mood,id,title,vote_count,vote_average,popularity,release_date,genre_ids
泣いた,950396,深い谷の間に,3037,7.694,35.1187,2025-02-14,"[10749, 878, 53]"
泣いた,3933,ティム・バートンのコープスブライド,9723,7.584,30.8544,2005-10-22,"[10749, 14, 16]"
泣いた,1223690,Pretty Thing,21,5.905,31.3222,2025-07-03,"[18, 53]"
泣いた,1451288,Tras el verano,4,6.25,30.3362,2025-05-16,[18]
泣いた,501902,Gewoon vrienden,87,7.1,30.408,2019-05-25,"[10749, 18, 35]"
泣いた,1294203,俺の過ち： ロンドン編,463,7.489,27.6137,2025-02-12,"[10749, 18]"
泣いた,550,ファイト・クラブ,30795,8.438,29.366,1999-12-11,"[18, 53]"
泣いた,829557,愛は、この日を迎えて,1764,5.92,28.9744,2022-04-27,"[10749, 18]"
泣いた,1156593,君の過ち,1359,7.125,29.1019,2024-12-27,"[10749, 18]"
泣いた,1429739,ゴールドラッシュ・ギャング,25,6.896,28.4878,2025-08-21,"[28, 35, 18, 37]"
泣いた,1388874,Boss Ma'am,8,7.5,24.9364,2024-11-26,[18]
泣いた,1359977,Conjuring the Cult,38,5.658,32.113,2024-10-01,"[27, 18]"
泣いた,211922,Благословите женщину,13,5.808,26.9671,2003-09-04,"[18, 10749]"
泣いた,933260,サブスタンス,5097,7.154,27.9021,2024-09-07,"[18, 27, 878]"
泣いた,1195631,William Tell,127,6.48,27.0114,2025-01-17,"[28, 18, 36]"
泣いた,1429747,ซ้ำวัน กับ Someone,4,7.5,25.3829,2025-09-18,"[10749, 35, 14]"
泣いた,1190586,레깅스 마니아,10,7.3,23.9555,2023-07-13,"[18, 10749]"
泣いた,173705,女教師 生徒の眼の前で,35,6.4,24.7096,1982-04-09,"[18, 9648, 27]"
泣いた,1190511,सितारे ज़मीन पर,24,7.6,27.8421,2025-06-20,"[35, 18]"
泣いた,1509871,シー・セッド・メイビー: 幸せの選び方,22,6.477,22.6491,2025-09-19,"[35, 10749, 18]"
泣いた,1300116,フォール・フォー・ミー,120,6.158,23.757,2025-08-21,"[10749, 53]"
泣いた,1477114,Sorority,5,6.6,22.2093,2025-06-20,"[18, 10749]"
泣いた,82023,Hotel Desire,131,6.153,23.6021,2011-12-07,"[18, 10749]"
泣いた,1495723,Metruk Adam,52,7.298,18.1912,2025-08-22,[18]
泣いた,475624,Sea Change,30,5.8,21.5419,2017-09-17,"[18, 10770, 14]"
泣いた,1545953,Mayumi,1,7.0,24.2518,2025-09-26,[18]
泣いた,402431,ウィキッド ふたりの魔女,2420,6.9,22.8553,2025-03-07,"[18, 10749, 14]"
泣いた,384527,Dolce... calda Lisa,10,4.8,22.9469,1980-03-28,[18]
泣いた,592695,Pleasure,721,6.296,22.4791,2021-10-08,[18]
泣いた,106646,ウルフ・オブ・ウォールストリート,25012,8.028,20.3176,2014-01-31,"[80, 18, 35]"
泣いた,216015,フィフティ・シェイズ・オブ・グレイ,12116,5.88,22.4122,2015-02-13,"[18, 10749, 53]"
泣いた,707610,가슴 큰 울 엄마,12,6.2,22.1004,2020-05-06,"[18, 10749]"
泣いた,423502,내 친구의 엄마,14,4.8,23.735,2016-10-12,[10749]
